timeMs,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
2231920,-2302.0,3516.0,5050.0,-1790.0,2203.0,-305.0,0.038,-0.156,0.384,0.909
2231932,-2612.0,4150.0,4266.0,-1547.0,2073.0,-153.0,0.03,-0.175,0.372,0.911
2231954,-2984.0,5418.0,4196.0,-1752.0,2054.0,117.0,0.019,-0.192,0.358,0.914
2231966,-3230.0,4784.0,4252.0,-2124.0,1876.0,463.0,0.005,-0.207,0.341,0.917
2231988,-3610.0,3372.0,4146.0,-2188.0,1679.0,606.0,0.01,0.219,-0.323,-0.921
2232000,-3900.0,3400.0,3670.0,-2041.0,1453.0,501.0,0.022,0.23,-0.307,-0.923
2232022,-3986.0,4340.0,3452.0,-1928.0,1272.0,425.0,0.033,0.239,-0.291,-0.926
2232044,-4100.0,4910.0,3334.0,-1840.0,955.0,463.0,0.044,0.245,-0.275,-0.928
2232056,-4086.0,4790.0,3618.0,-1623.0,612.0,518.0,0.053,0.248,-0.262,-0.931
2232078,-4004.0,3840.0,3902.0,-1452.0,412.0,594.0,0.063,0.25,-0.251,-0.933
2232090,-4106.0,3624.0,3986.0,-1292.0,159.0,719.0,0.072,0.249,-0.241,-0.935
2232112,-3730.0,3544.0,3456.0,-1243.0,-64.0,797.0,0.082,0.245,-0.232,-0.938
2232124,-3708.0,3470.0,3942.0,-1222.0,-219.0,778.0,0.091,0.241,-0.224,-0.94
2232146,-2942.0,4072.0,4690.0,-1115.0,-336.0,718.0,0.099,0.235,-0.216,-0.943
2232158,-2738.0,4144.0,5424.0,-1039.0,-381.0,742.0,0.107,0.229,-0.209,-0.945
2232180,-2362.0,4312.0,5648.0,-870.0,-396.0,718.0,0.114,0.223,-0.203,-0.946
2232202,-2404.0,3534.0,5048.0,-768.0,-395.0,605.0,0.121,0.218,-0.198,-0.948
2232214,-2166.0,3144.0,4864.0,-669.0,-439.0,497.0,0.126,0.212,-0.194,-0.95
2232236,-2744.0,-1028.0,5032.0,-616.0,-362.0,1329.0,0.138,0.206,-0.191,-0.95
2232248,-1684.0,4792.0,6360.0,315.0,-560.0,1101.0,0.147,0.199,-0.197,-0.949
2232270,-394.0,7636.0,6862.0,-480.0,-553.0,1254.0,0.158,0.191,-0.196,-0.949
2232282,-1148.0,3486.0,7156.0,-808.0,-439.0,1149.0,0.169,0.184,-0.191,-0.949
2232304,-1388.0,3882.0,7162.0,-405.0,-224.0,810.0,0.177,0.18,-0.19,-0.949
2232316,-1422.0,4044.0,7186.0,-192.0,-110.0,578.0,0.183,0.177,-0.189,-0.948
2232338,-1468.0,4150.0,7336.0,-181.0,-25.0,357.0,0.187,0.176,-0.188,-0.948
2232350,-1730.0,3702.0,7702.0,-100.0,58.0,208.0,0.19,0.176,-0.188,-0.948
2232372,-1792.0,3638.0,7528.0,59.0,112.0,121.0,0.192,0.177,-0.188,-0.947
2232394,-2202.0,3684.0,7224.0,190.0,43.0,-85.0,0.191,0.178,-0.189,-0.947
2232406,-2122.0,3426.0,6834.0,159.0,-8.0,-219.0,0.19,0.178,-0.19,-0.947
2232428,-2504.0,2950.0,6806.0,131.0,-40.0,-244.0,0.188,0.179,-0.191,-0.947
2232440,-2194.0,3488.0,6978.0,80.0,-10.0,-189.0,0.187,0.179,-0.191,-0.947
2232462,-2114.0,3454.0,7284.0,1.0,-16.0,-29.0,0.188,0.179,-0.191,-0.947
2232474,-2368.0,3726.0,7268.0,40.0,-2.0,-40.0,0.188,0.179,-0.191,-0.947
2232496,-1798.0,4258.0,7336.0,31.0,6.0,58.0,0.189,0.179,-0.192,-0.946
2232508,-2490.0,3712.0,7236.0,46.0,-4.0,85.0,0.191,0.179,-0.192,-0.946
2232530,-2454.0,3856.0,6978.0,106.0,2.0,91.0,0.192,0.18,-0.193,-0.945
2232552,-2340.0,3904.0,6676.0,50.0,2.0,115.0,0.194,0.18,-0.194,-0.945
2232564,-2350.0,3914.0,6568.0,8.0,-17.0,84.0,0.195,0.18,-0.194,-0.944
2232586,-2356.0,3866.0,6766.0,-20.0,-29.0,38.0,0.197,0.179,-0.194,-0.944
2232598,-2216.0,4226.0,7048.0,-8.0,-41.0,-80.0,0.197,0.179,-0.194,-0.944
2232620,-1524.0,4090.0,7506.0,48.0,-15.0,-141.0,0.196,0.179,-0.194,-0.944
2232632,-1714.0,3684.0,7366.0,113.0,9.0,-315.0,0.194,0.18,-0.194,-0.945
2232654,-1816.0,3688.0,7472.0,159.0,1.0,-327.0,0.192,0.181,-0.195,-0.945
2232666,-882.0,3740.0,7268.0,291.0,0.0,-477.0,0.188,0.182,-0.196,-0.945
2232688,2.0,4330.0,7522.0,534.0,55.0,-949.0,0.18,0.185,-0.199,-0.945
2232710,1474.0,6152.0,7158.0,798.0,263.0,-979.0,0.171,0.191,-0.204,-0.945
2232722,1312.0,6948.0,6944.0,834.0,467.0,-981.0,0.163,0.198,-0.209,-0.944
2232744,612.0,7722.0,6594.0,559.0,571.0,-963.0,0.155,0.206,-0.211,-0.943
2232756,166.0,7468.0,5180.0,294.0,519.0,-1228.0,0.146,0.213,-0.21,-0.943
2232778,-392.0,7150.0,3722.0,379.0,423.0,-1713.0,0.132,0.221,-0.211,-0.943
2232790,-1412.0,6826.0,2754.0,623.0,235.0,-2093.0,0.113,0.228,-0.212,-0.944
2232812,-2276.0,6426.0,1998.0,841.0,-90.0,-2286.0,0.091,0.232,-0.215,-0.944
2232824,-2754.0,5784.0,1848.0,1043.0,-462.0,-2325.0,0.068,0.234,-0.219,-0.945
2232846,-2948.0,4946.0,2138.0,1242.0,-839.0,-2291.0,0.043,0.232,-0.226,-0.945
2232868,-3666.0,3702.0,2148.0,1336.0,-1223.0,-2213.0,0.018,0.226,-0.233,-0.946
2232880,-4102.0,2596.0,2510.0,1436.0,-1596.0,-2196.0,0.008,-0.217,0.241,0.946
2232902,-4298.0,1466.0,3390.0,1455.0,-1899.0,-2063.0,0.033,-0.204,0.25,0.946
2232914,-4558.0,968.0,4102.0,1451.0,-2160.0,-1822.0,0.057,-0.189,0.258,0.946
2232936,-4546.0,1126.0,3998.0,1480.0,-2405.0,-1516.0,0.079,-0.17,0.267,0.945
2232948,-4462.0,1434.0,3938.0,1536.0,-2697.0,-1209.0,0.099,-0.148,0.277,0.944
2232970,-3746.0,1364.0,5346.0,1633.0,-2862.0,-969.0,0.117,-0.124,0.287,0.943
2232982,-2800.0,2304.0,8122.0,1543.0,-2830.0,-666.0,0.133,-0.099,0.296,0.941
2233004,-3084.0,2724.0,8842.0,1246.0,-2768.0,-331.0,0.145,-0.074,0.303,0.939
2233016,-3162.0,2550.0,8460.0,1044.0,-2705.0,-192.0,0.155,-0.049,0.309,0.937
2233038,-2718.0,1760.0,6498.0,1045.0,-2616.0,-220.0,0.166,-0.025,0.314,0.935
2233060,-2180.0,2786.0,5396.0,953.0,-2484.0,-238.0,0.175,-0.003,0.318,0.932
2233072,-1160.0,4252.0,7448.0,720.0,-2361.0,-188.0,0.184,0.019,0.32,0.929
2233094,138.0,6560.0,9988.0,441.0,-2167.0,-125.0,0.192,0.038,0.32,0.927
2233106,594.0,6986.0,10866.0,150.0,-1973.0,-28.0,0.198,0.055,0.318,0.926
2233128,-144.0,5588.0,9810.0,-83.0,-1881.0,-98.0,0.205,0.071,0.314,0.924
2233140,-356.0,4270.0,8194.0,11.0,-1783.0,-296.0,0.213,0.086,0.31,0.922
2233162,-274.0,4152.0,6744.0,198.0,-1700.0,-412.0,0.222,0.1,0.309,0.92
2233184,304.0,4746.0,7222.0,227.0,-1580.0,-433.0,0.23,0.112,0.308,0.916
