timeMs,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
1243225,308.0,2030.0,7825.0,-966.0,-1043.0,405.0,0.617,0.081,0.037,0.782
1243237,384.0,1276.0,8189.0,-888.0,-917.0,394.0,0.615,0.083,0.025,0.783
1243259,354.0,994.0,8497.0,-649.0,-736.0,438.0,0.613,0.084,0.016,0.785
1243271,852.0,1900.0,9269.0,-336.0,-621.0,434.0,0.611,0.087,0.009,0.787
1243293,1454.0,2570.0,9623.0,-116.0,-448.0,291.0,0.609,0.09,0.005,0.788
1243305,1334.0,2206.0,9587.0,-54.0,-275.0,202.0,0.608,0.091,0.003,0.789
1243327,1106.0,1482.0,9223.0,-1.0,-73.0,206.0,0.607,0.092,0.002,0.789
1243349,936.0,1072.0,9023.0,16.0,88.0,230.0,0.606,0.092,0.002,0.79
1243366,882.0,894.0,8775.0,-8.0,224.0,193.0,0.605,0.09,0.003,0.791
1243378,662.0,1202.0,8437.0,-44.0,322.0,166.0,0.604,0.087,0.005,0.792
1243400,430.0,962.0,8453.0,-149.0,318.0,106.0,0.604,0.084,0.005,0.793
1243412,536.0,642.0,8605.0,-150.0,315.0,38.0,0.604,0.081,0.006,0.793
1243434,566.0,506.0,8413.0,-71.0,351.0,9.0,0.604,0.078,0.007,0.793
1243446,594.0,470.0,8303.0,5.0,358.0,-19.0,0.605,0.075,0.009,0.793
1243468,1838.0,-452.0,6701.0,-32.0,70.0,-157.0,0.606,0.074,0.009,0.792
1243480,126.0,-1772.0,7231.0,124.0,383.0,20.0,0.607,0.072,0.012,0.792
1243502,682.0,-118.0,8013.0,346.0,390.0,88.0,0.606,0.071,0.016,0.792
1243524,376.0,174.0,7761.0,195.0,231.0,92.0,0.606,0.07,0.018,0.792
1243536,522.0,294.0,7863.0,120.0,180.0,119.0,0.605,0.069,0.02,0.793
1243558,264.0,952.0,7795.0,98.0,111.0,214.0,0.604,0.069,0.021,0.794
1243570,2162.0,1624.0,7747.0,57.0,25.0,247.0,0.602,0.07,0.021,0.795
1243592,-1592.0,744.0,5597.0,342.0,1640.0,403.0,0.599,0.06,0.033,0.798
1243604,-214.0,808.0,8211.0,320.0,1253.0,466.0,0.595,0.052,0.042,0.801
1243626,-1004.0,512.0,7719.0,424.0,734.0,635.0,0.591,0.049,0.049,0.804
1243638,-2932.0,84.0,6851.0,278.0,254.0,913.0,0.584,0.049,0.052,0.809
1243660,-1540.0,480.0,7609.0,445.0,146.0,1333.0,0.574,0.05,0.055,0.815
1243682,-1292.0,1218.0,7777.0,354.0,-157.0,1742.0,0.561,0.054,0.056,0.824
1243694,-504.0,992.0,8089.0,319.0,-302.0,1658.0,0.549,0.059,0.056,0.832
1243716,-40.0,1244.0,8403.0,345.0,-372.0,1785.0,0.535,0.064,0.056,0.84
1243728,112.0,1668.0,8307.0,376.0,-116.0,1741.0,0.522,0.068,0.057,0.848
1243750,-162.0,1860.0,8225.0,207.0,-2.0,1413.0,0.511,0.07,0.058,0.855
1243762,-248.0,1792.0,8151.0,97.0,-136.0,961.0,0.504,0.072,0.058,0.859
1243784,-520.0,1386.0,8275.0,136.0,-154.0,744.0,0.498,0.074,0.057,0.862
1243796,-530.0,1734.0,8125.0,52.0,-264.0,662.0,0.493,0.077,0.056,0.865
1243818,-610.0,1506.0,8649.0,20.0,-275.0,721.0,0.488,0.079,0.055,0.868
1243830,-38.0,1696.0,7743.0,9.0,-59.0,867.0,0.481,0.08,0.054,0.871
1243853,46.0,1602.0,8105.0,-32.0,-214.0,453.0,0.478,0.082,0.052,0.873
1243875,-184.0,1528.0,7797.0,-25.0,237.0,589.0,0.473,0.08,0.053,0.876
1243887,10.0,1304.0,7771.0,-78.0,95.0,388.0,0.471,0.079,0.052,0.877
1243909,-418.0,1328.0,7575.0,-101.0,309.0,565.0,0.466,0.076,0.052,0.88
1243921,-32.0,1534.0,7993.0,-75.0,-307.0,316.0,0.464,0.079,0.05,0.881
1243943,-620.0,1066.0,9317.0,82.0,250.0,600.0,0.459,0.077,0.051,0.883
1243955,-462.0,1554.0,7973.0,62.0,242.0,674.0,0.454,0.076,0.052,0.886
1243977,-828.0,2054.0,7997.0,182.0,-64.0,555.0,0.449,0.077,0.053,0.888
1243989,384.0,2188.0,7559.0,103.0,-202.0,500.0,0.446,0.08,0.053,0.89
1244011,980.0,1794.0,8133.0,150.0,60.0,300.0,0.443,0.08,0.054,0.891
1244033,-448.0,1760.0,8247.0,65.0,-247.0,194.0,0.442,0.082,0.054,0.892
1244045,26.0,1626.0,8019.0,-21.0,-63.0,199.0,0.441,0.083,0.053,0.892
1244067,14.0,1716.0,8173.0,-60.0,-9.0,63.0,0.44,0.083,0.053,0.892
1244079,-350.0,2042.0,8079.0,-75.0,-66.0,-19.0,0.441,0.083,0.052,0.892
1244101,-198.0,1910.0,7949.0,-114.0,68.0,7.0,0.441,0.082,0.051,0.892
1244113,96.0,1890.0,8187.0,-138.0,-171.0,-267.0,0.444,0.082,0.05,0.891
1244135,-54.0,2206.0,8321.0,-246.0,-492.0,-616.0,0.45,0.085,0.046,0.888
1244147,210.0,1552.0,8323.0,-411.0,-750.0,-871.0,0.458,0.089,0.04,0.884
1244169,134.0,1026.0,8211.0,-589.0,-534.0,-934.0,0.467,0.091,0.034,0.879
1244181,-152.0,1018.0,8029.0,-772.0,-374.0,-861.0,0.475,0.09,0.027,0.875
1244203,-362.0,1324.0,8113.0,-786.0,-242.0,-762.0,0.482,0.088,0.02,0.872
1244225,610.0,1812.0,8307.0,-580.0,-189.0,-678.0,0.488,0.087,0.015,0.868
1244237,522.0,304.0,8111.0,-321.0,-35.0,-555.0,0.493,0.085,0.013,0.866
1244259,152.0,918.0,8097.0,-26.0,127.0,-611.0,0.498,0.084,0.014,0.863
1244271,686.0,294.0,8253.0,197.0,276.0,-338.0,0.501,0.083,0.016,0.861
1244293,560.0,782.0,8657.0,624.0,623.0,-136.0,0.502,0.08,0.024,0.861
1244305,-862.0,1554.0,7953.0,599.0,593.0,168.0,0.5,0.078,0.032,0.862
1244327,250.0,1018.0,8229.0,564.0,401.0,461.0,0.496,0.078,0.038,0.864
1244339,602.0,1274.0,8387.0,453.0,634.0,585.0,0.491,0.075,0.044,0.867
1244361,738.0,3162.0,7913.0,223.0,574.0,781.0,0.485,0.072,0.048,0.87
1244373,704.0,1278.0,8611.0,-54.0,560.0,929.0,0.477,0.068,0.049,0.875
1244396,910.0,1706.0,8407.0,-251.0,806.0,838.0,0.471,0.061,0.05,0.879
1244408,320.0,3334.0,959.0,-590.0,1796.0,-169.0,0.472,0.043,0.053,0.879
1244431,-102.0,-1300.0,7441.0,-1149.0,1489.0,-105.0,0.472,0.026,0.05,0.88
1244453,-442.0,1270.0,7849.0,-805.0,1659.0,174.0,0.47,0.009,0.051,0.881
1244465,-1424.0,-2614.0,8187.0,-575.0,1471.0,272.0,0.468,-0.006,0.052,0.882
1244487,-984.0,384.0,8353.0,-21.0,1964.0,148.0,0.466,-0.022,0.06,0.883
1244499,-2328.0,522.0,7769.0,103.0,2230.0,-276.0,0.467,-0.04,0.071,0.881
1244521,-3062.0,588.0,6989.0,215.0,1551.0,-568.0,0.471,-0.053,0.079,0.877
1244533,-4128.0,1010.0,6253.0,1.0,26.0,-723.0,0.477,-0.054,0.079,0.874
1244555,-2214.0,-696.0,6575.0,-334.0,-904.0,-582.0,0.482,-0.049,0.072,0.872
1244567,-1554.0,254.0,9215.0,-98.0,-1013.0,-476.0,0.487,-0.041,0.066,0.87
1244589,-1968.0,768.0,8409.0,-35.0,-322.0,-70.0,0.488,-0.039,0.065,0.87
1244601,-98.0,2598.0,8851.0,-264.0,251.0,-225.0,0.49,-0.042,0.063,0.868
1244623,-2386.0,572.0,7519.0,-104.0,631.0,-345.0,0.493,-0.048,0.065,0.867
1244645,-2442.0,670.0,7821.0,23.0,361.0,-154.0,0.494,-0.051,0.067,0.865
1244657,-2590.0,538.0,7565.0,121.0,152.0,203.0,0.492,-0.052,0.069,0.866
1244679,-2650.0,-168.0,7431.0,423.0,-143.0,669.0,0.488,-0.048,0.072,0.869
1244691,-1126.0,1014.0,8131.0,949.0,-95.0,775.0,0.482,-0.043,0.08,0.871
1244713,-1378.0,1876.0,7759.0,914.0,12.0,303.0,0.48,-0.038,0.087,0.872
1244725,-2136.0,1352.0,7537.0,631.0,-398.0,-69.0,0.482,-0.032,0.091,0.871
1244747,-1210.0,1092.0,7531.0,565.0,-149.0,141.0,0.481,-0.028,0.095,0.871
1244759,-1398.0,1482.0,7355.0,371.0,220.0,310.0,0.479,-0.028,0.099,0.872
1244781,-1520.0,1204.0,8323.0,159.0,38.0,49.0,0.479,-0.028,0.1,0.872
1244803,-1436.0,1116.0,7579.0,-120.0,157.0,97.0,0.478,-0.029,0.1,0.872
1244815,-1596.0,1414.0,7555.0,-264.0,-294.0,-94.0,0.479,-0.028,0.097,0.872
1244837,-1718.0,1152.0,7245.0,-301.0,-1315.0,-444.0,0.484,-0.019,0.088,0.87
1244849,-1224.0,898.0,7473.0,-303.0,-973.0,-108.0,0.486,-0.013,0.081,0.87
1244871,-738.0,768.0,7985.0,-401.0,-709.0,51.0,0.486,-0.009,0.075,0.871
1244883,-1668.0,464.0,8237.0,-448.0,-905.0,58.0,0.487,-0.004,0.067,0.871
1244905,-822.0,546.0,7585.0,-465.0,-1213.0,126.0,0.487,0.004,0.057,0.872
1244917,-456.0,252.0,8027.0,-480.0,-1027.0,215.0,0.486,0.01,0.049,0.873
1244939,-1218.0,416.0,7967.0,-331.0,-702.0,763.0,0.48,0.015,0.043,0.876
1244961,-870.0,792.0,8523.0,-277.0,-550.0,961.0,0.473,0.018,0.038,0.88
1244973,-670.0,358.0,8179.0,-202.0,-408.0,933.0,0.466,0.021,0.034,0.884
1244995,-336.0,1156.0,7889.0,-106.0,-512.0,664.0,0.461,0.025,0.031,0.887
1245007,72.0,176.0,7891.0,93.0,-298.0,226.0,0.459,0.028,0.03,0.888
1245029,-706.0,548.0,7773.0,277.0,-287.0,2.0,0.459,0.031,0.031,0.887
1245041,-548.0,550.0,7837.0,397.0,-296.0,-133.0,0.46,0.036,0.033,0.886
1245063,-154.0,830.0,7689.0,393.0,-322.0,-166.0,0.462,0.04,0.035,0.885
1245075,-582.0,818.0,7687.0,480.0,-445.0,-378.0,0.465,0.045,0.037,0.883
1245097,400.0,946.0,7785.0,357.0,-443.0,-302.0,0.468,0.05,0.038,0.881
1245109,278.0,986.0,7999.0,271.0,-431.0,-790.0,0.475,0.055,0.039,0.878
1245131,-34.0,1262.0,8187.0,292.0,-512.0,-1174.0,0.484,0.06,0.04,0.872
1245153,-1000.0,4766.0,7633.0,355.0,-1309.0,-1922.0,0.5,0.072,0.038,0.862
1245165,1448.0,-476.0,8321.0,42.0,-828.0,-2089.0,0.517,0.078,0.035,0.851
1245187,-1164.0,1470.0,8019.0,206.0,-360.0,-997.0,0.526,0.081,0.036,0.846
1245199,666.0,1850.0,8059.0,-58.0,-293.0,-540.0,0.53,0.083,0.034,0.843
1245221,0.0,1512.0,7971.0,-254.0,-253.0,-227.0,0.532,0.083,0.031,0.842
1245233,666.0,1896.0,8019.0,-403.0,-297.0,-270.0,0.535,0.084,0.027,0.84
1245255,-442.0,1000.0,8045.0,-397.0,-256.0,-197.0,0.537,0.084,0.023,0.839
1245267,2070.0,1036.0,8495.0,-265.0,-164.0,-175.0,0.539,0.084,0.02,0.838
1245289,-846.0,1376.0,7885.0,-201.0,-213.0,-27.0,0.539,0.084,0.017,0.838
1245311,610.0,632.0,8083.0,-111.0,-252.0,-35.0,0.54,0.086,0.015,0.837
1245323,654.0,-184.0,8385.0,126.0,-115.0,107.0,0.539,0.087,0.015,0.838
1245345,268.0,1232.0,8321.0,307.0,-176.0,68.0,0.539,0.09,0.017,0.838
1245357,-6698.0,-3034.0,5039.0,337.0,-895.0,180.0,0.537,0.097,0.015,0.838
1245374,710.0,-1904.0,7485.0,1713.0,-1900.0,1441.0,0.525,0.12,0.017,0.843
1245396,3352.0,1098.0,7379.0,1872.0,-1418.0,645.0,0.518,0.141,0.023,0.843
1245408,4352.0,1278.0,7827.0,1689.0,-740.0,155.0,0.515,0.155,0.033,0.843
1245430,2542.0,1852.0,8109.0,1125.0,-36.0,957.0,0.506,0.161,0.04,0.847
1245442,-152.0,2504.0,8669.0,419.0,-119.0,944.0,0.498,0.164,0.041,0.851
1245464,2534.0,2726.0,8755.0,-55.0,-205.0,547.0,0.494,0.166,0.038,0.853
1245486,2410.0,2194.0,8623.0,-325.0,-434.0,284.0,0.492,0.168,0.033,0.853
1245498,3376.0,1620.0,8057.0,-423.0,-65.0,375.0,0.49,0.167,0.029,0.855
1245520,3272.0,1640.0,8389.0,-507.0,462.0,595.0,0.486,0.161,0.026,0.859
1245532,1594.0,2434.0,8587.0,-318.0,688.0,993.0,0.478,0.154,0.025,0.864
1245554,-1122.0,3212.0,8197.0,-241.0,63.0,696.0,0.473,0.153,0.023,0.867
1245566,1408.0,2536.0,8565.0,-356.0,-300.0,240.0,0.472,0.154,0.018,0.868
1245588,2174.0,2038.0,7877.0,-547.0,-35.0,231.0,0.471,0.152,0.013,0.869
1245600,2462.0,1098.0,7787.0,-956.0,-5.0,133.0,0.471,0.148,0.005,0.87
1245622,2672.0,1110.0,8253.0,-1138.0,296.0,454.0,0.469,0.14,-0.004,0.872
1245644,1794.0,906.0,8311.0,-1500.0,710.0,725.0,0.465,0.128,-0.014,0.876
1245656,-218.0,1494.0,7353.0,-1675.0,426.0,633.0,0.462,0.117,-0.026,0.879
1245678,1036.0,1012.0,7817.0,-1506.0,406.0,395.0,0.46,0.107,-0.037,0.88
1245690,1698.0,-638.0,7465.0,-1485.0,628.0,603.0,0.457,0.095,-0.047,0.883
1245712,466.0,1278.0,7595.0,-1267.0,726.0,805.0,0.452,0.084,-0.055,0.886
1245724,-1410.0,2300.0,8231.0,-1088.0,-161.0,9.0,0.453,0.08,-0.064,0.886
1245746,1616.0,578.0,8805.0,-516.0,-746.0,-840.0,0.46,0.085,-0.071,0.881
1245758,2190.0,672.0,9191.0,-116.0,-721.0,-1137.0,0.469,0.091,-0.074,0.876
1245780,2016.0,818.0,9259.0,72.0,-244.0,-1110.0,0.478,0.094,-0.074,0.87
1245792,1570.0,1026.0,9099.0,151.0,-557.0,-1254.0,0.488,0.1,-0.074,0.864
1245814,2444.0,884.0,8951.0,56.0,-1000.0,-1405.0,0.498,0.109,-0.077,0.857
1245836,3236.0,772.0,8267.0,-148.0,-1032.0,-1110.0,0.507,0.118,-0.082,0.85
1245848,2746.0,16.0,7839.0,-407.0,-823.0,-879.0,0.513,0.123,-0.088,0.845
1245870,3402.0,-138.0,6929.0,-573.0,-429.0,-777.0,0.52,0.125,-0.094,0.84
1245882,3082.0,-1678.0,7371.0,-857.0,94.0,-578.0,0.526,0.12,-0.1,0.836
1245904,3030.0,-590.0,6749.0,-1551.0,450.0,-266.0,0.53,0.11,-0.11,0.834
1245916,2274.0,-618.0,7301.0,-1685.0,491.0,-275.0,0.534,0.098,-0.12,0.831
1245938,2178.0,-620.0,7687.0,-1725.0,533.0,-192.0,0.538,0.086,-0.131,0.829
1245960,648.0,-648.0,7435.0,-1274.0,643.0,-160.0,0.541,0.074,-0.137,0.827
1245972,2112.0,-2068.0,7341.0,-929.0,405.0,96.0,0.541,0.066,-0.142,0.826
1245994,1856.0,-2642.0,7463.0,-892.0,162.0,399.0,0.539,0.06,-0.149,0.827
1246006,1974.0,-2390.0,8169.0,-970.0,-7.0,680.0,0.534,0.054,-0.157,0.829
1246028,1898.0,-1510.0,7761.0,-670.0,121.0,823.0,0.528,0.048,-0.162,0.832
1246040,2266.0,-2374.0,7301.0,-364.0,388.0,871.0,0.523,0.042,-0.164,0.836
1246062,1842.0,-2546.0,7237.0,-122.0,654.0,616.0,0.519,0.036,-0.162,0.839
1246074,1746.0,-1636.0,7441.0,282.0,951.0,324.0,0.518,0.029,-0.155,0.841
1246096,1546.0,-2736.0,7701.0,1030.0,1168.0,-404.0,0.523,0.025,-0.142,0.84
1246108,1894.0,-1520.0,8313.0,1691.0,1274.0,-1364.0,0.535,0.025,-0.122,0.836
1246130,1130.0,-318.0,8673.0,1593.0,1392.0,-1818.0,0.55,0.025,-0.102,0.828
