timeMs,ax,ay,az,q0,q1,q2,q3,
38430,44,318,9784,0.2297,-0.0029,-0.0371,0.9725
38452,0,342,9870,0.2297,-0.0029,-0.0371,0.9725
38474,92,336,9766,0.2297,-0.0029,-0.037,0.9725
38486,-2,320,9824,0.2297,-0.003,-0.037,0.9725
38508,12,328,9836,0.2298,-0.003,-0.037,0.9725
38520,38,342,9772,0.2297,-0.003,-0.037,0.9725
38542,78,256,9776,0.2298,-0.003,-0.037,0.9725
38554,-74,292,9830,0.2297,-0.0031,-0.037,0.9725
38576,-110,274,9846,0.2297,-0.003,-0.0369,0.9725
38588,-22,356,9780,0.2296,-0.0029,-0.0368,0.9725
38610,100,224,9832,0.2296,-0.0028,-0.0368,0.9725
38622,74,304,9780,0.2297,-0.0028,-0.0367,0.9725
38644,-26,312,9822,0.2296,-0.0026,-0.0367,0.9725
38666,56,332,9860,0.2297,-0.0024,-0.0366,0.9725
38678,6,260,9836,0.2297,-0.0023,-0.0366,0.9725
38700,-6,248,9776,0.2296,-0.0022,-0.0365,0.9725
38712,30,268,9806,0.2296,-0.0021,-0.0365,0.9725
38734,30,352,9834,0.2296,-0.002,-0.0365,0.9725
38746,84,358,9804,0.2296,-0.002,-0.0366,0.9725
38768,62,358,9820,0.2297,-0.0019,-0.0367,0.9725
38780,-16,392,9798,0.2297,-0.002,-0.0367,0.9725
38802,-22,400,9744,0.2298,-0.0018,-0.037,0.9725
38824,70,420,9842,0.2297,-0.0014,-0.0373,0.9725
38836,84,278,9722,0.2296,-0.001,-0.0376,0.9725
38858,40,214,9802,0.2294,-0.0005,-0.0381,0.9725
38870,-126,226,9796,0.2292,0.0,-0.0387,0.9725
38892,-32,288,9902,0.2289,0.0005,-0.0391,0.9726
38904,128,260,9934,0.2285,0.0007,-0.0395,0.9727
38926,188,288,9856,0.2283,0.0009,-0.0397,0.9727
38938,244,302,9782,0.2281,0.0009,-0.0398,0.9728
38960,122,360,9796,0.2277,0.0009,-0.04,0.9728
